Category,SS#,Original English,French Translation,Suggested Line Break,Bold this word,Back Translation to English
Entertainment,SS1,PLAY HOT NEW SONGS,Découvrez les toutes dernières chansons tendance,"Découvrez les toutes dernières
chansons tendance",Découvrez,Discover the hottest new trending songs
,SS2,PLAY HOT NEW SONGS,Plongez dans les nouvelles pépites musicales,"Plongez dans les
nouvelles pépites musicales",Plongez,Dive into the latest musical gems
,SS3,NEW EXTREME MODE,Un nouveau mode pour repousser vos limites,"Un nouveau mode
pour repousser vos limites",repousser vos limites,A new mode to push your limits
,SS4,CLIMB RANKS,Progressez dans les classements et devenez le meilleur,"Progressez dans les classements
et devenez le meilleur",Progressez dans les classements,Climb the ranks and become the best
,SS5,PIANO FOR EVERYONE,"Le piano accessible à tous, à tout moment","Le piano accessible à tous
à tout moment",accessible à tous,"Piano accessible to everyone, anytime"
,SS6,93% positive ratings,Approuvé à 93% par les utilisateurs,"Approuvé à 93%
par les utilisateurs",Approuvé à 93%,Approved by 93% of users
,SS7,CHALLENGE WITH FRIENDS,Défiez vos amis dans une ambiance fun,"Défiez vos amis
dans une ambiance fun",Défiez vos amis,Challenge your friends in a fun setting
,SS8,EASY BUT SATISFYING,"Simple à jouer, agréable à maîtriser","Simple à jouer,
agréable à maîtriser","
Simple à jouer","Easy to play, satisfying to master"
,,,,,,
,,,,,,
,,,,,,
Game - Casual,SS#,Original English,French Translation,Suggested Line Break,Bold Styling,Back Translation to English
,SS1,PLAY HOT NEW SONGS,Joue les chansonsles plus tendances,"Joue les chansons
les plus tendances",Joue,Play the hottest songs
,SS2,PLAY HOT NEW SONGS,Essaie lesnouveaux hits du moment,"Essaie les
nouveaux hits du moment",Essaie,Try the latest hits
,SS3,NEW EXTREME MODE,Nouveau modepour les pros,"Nouveau mode
pour les pros",Nouveau mode,New mode for pros
,SS4,CLIMB RANKS,Grimpe les classementset montre qui est le boss,"Grimpe les classements
et montre qui est le boss",Grimpe les classements,Climb the ranks and show who's boss
,SS5,PIANO FOR EVERYONE,Le piano facilepour tous,"Le piano facile
pour tous",facile,Easy piano for everyone
,SS6,93% Positive ratings,Noté 93% par les joueurs,"Noté 93%
par les joueurs",Noté 93%,Rated 93% by players
,SS7,CHALLENGE WITH FRIENDS,Un défi entre potes !,"Un défi
entre potes !",Un défi,A challenge between friends!
,SS8,EASY BUT SATISFYING,Facile… mais trop fun !,"Facile…
mais trop fun !",Facile…,Easy… but super fun!
,,,,,,
,,,,,,
,,,,,,
Game - Music,SS#,Original English,French Translation (Game - Music),Suggested Line Break,Bold Styling,Back Translation to English
,SS1,PLAY HOT NEW SONGS,JOUE LES DERNIERS HITS !,"JOUE LES
DERNIERS HITS !",JOUE,PLAY THE LATEST HITS!
,SS2,PLAY HOT NEW SONGS,HITS TENDANCE À JOUER MAINTENANT,"HITS TENDANCE
À JOUER MAINTENAN",HITS TENDANCE,TRENDING HITS TO PLAY NOW
,SS3,NEW EXTREME MODE,MODE EXTRÊME DÉBLOQUÉ !,"MODE EXTRÊME
DÉBLOQUÉ !",MODE EXTRÊME,EXTREME MODE UNLOCKED!
,SS4,CLIMB RANKS,MONTE DANS LE CLASSEMENT !,"MONTE DANS
LE CLASSEMENT !",MONTE,CLIMB THE LEADERBOARD!
,SS5,PIANO FOR EVERYONE,PIANO FUN POUR TOUS,"PIANO FUN
POUR TOUS",PIANO FUN,FUN PIANO FOR EVERYONE
,SS6,93% POSITIVE RATINGS,93% DE JOUEURS ONT VALIDÉ !,"93% DE JOUEURS
ONT VALIDÉ !",93% DE JOUEURS,93% of players approved it!
,SS7,CHALLENGE WITH FRIENDS,CHALLENGE TES AMIS EN RYTHME !,"CHALLENGE TES AMIS
EN RYTHME !",CHALLENGE TES AMIS,Challenge your friends to the beat!
,SS8,EASY BUT SATISFYING,"SIMPLE À JOUER.
PLAISIR GARANTI !","SIMPLE À JOUER.
PLAISIR GARANTI !",SIMPLE À JOUER.,Easy to play. Fun guaranteed!